"filename", "language", "Markdown", "Shell Script", "TypeScript", "JavaScript", "JSON", "JSON with Comments", "TypeScript JSX", "Batch", "CSS", "HTML", "Properties", "Docker", "Python", "YAML", "pip requirements", "comment", "blank", "total"
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\.claude\settings.local.json", "JSON", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\CLAUDE.md", "Markdown", 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 223
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\CODEBASE.md", "Markdown", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 97
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\DEPLOYMENT.md", "Markdown", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 76
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\backend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\backend\algorithms\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\backend\algorithms\algo2.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 14, 25, 149
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\backend\algorithms\common.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 2, 20, 104
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\backend\algorithms\guillotine\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 6, 31
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\backend\algorithms\guillotine\engine.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 303, 0, 0, 46, 61, 410
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\backend\algorithms\guillotine\helper.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 245, 0, 0, 24, 51, 320
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\backend\algorithms\optimizer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 14, 45, 211
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\backend\algorithms\registry.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 9, 10, 45
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\backend\algorithms\scorer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 0, 0, 3, 21, 164
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\backend\algorithms\trace.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 6, 16, 86
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\backend\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 14, 56
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\backend\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\backend\schema.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 5, 23, 92
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 2, 20
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\frontend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\frontend\README.md", "Markdown", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 74
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\frontend\components.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\frontend\eslint.config.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\frontend\nginx.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 2, 3, 20
"c:\Users\ATTKAYE1\OneDrive - PSA International\Documents\Github-Repos\3d-container-packing\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 9058, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9059
